TargetID	AVG_Signal-H9 hES cells repl1	BEAD_STDEV-H9 hES cells repl1	Detection-H9 hES cells repl1
GI_11386142-S	136.8	7.5	0.49935484
GI_11386146-S	2576.7	61.4	1
GI_11386152-S	150.8	6.2	0.82709677
GI_11386154-S	149.4	7.5	0.80387097
GI_11386156-S	193.9	8.1	0.99870968
GI_11386170-S	164.2	7.4	0.95612903
GI_11386172-S	139.6	6.1	0.58709677
GI_11386174-A	1931.4	51.8	1
GI_11386184-S	3437.5	106.1	1
GI_11386190-S	2351.2	58	1
GI_11386194-S	152.3	9.8	0.84516129
GI_11386196-S	138.4	7.1	0.54967742
GI_11386198-S	269.6	10.6	1
GI_11386200-S	528.8	15.5	1
GI_11415027-S	129	6	0.28903226
GI_11415031-S	136.7	5.7	0.49806452
GI_11415033-S	148.1	7	0.78193548
GI_11415035-S	379.3	10.6	1
GI_11415045-S	159.6	8.5	0.93032258
GI_11496238-S	1073.9	32.2	1
GI_11496266-S	171.5	8.4	0.98322581
GI_11496268-S	653.7	25	1
GI_11496272-S	377.7	10.7	1
GI_11496274-S	165.6	6.3	0.96
GI_11496280-S	141.8	8.4	0.64516129
GI_11496282-S	324.1	8.3	1
GI_11496880-S	1934.7	53.4	1
GI_11496883-S	152.8	8.4	0.85290323
GI_11496886-S	144	6	0.70709677
GI_11496888-S	150.8	7	0.82709677
GI_11496889-S	125	4.7	0.19741935
GI_11496890-S	1528.7	35.4	1
GI_11496969-S	150.1	15.7	0.82322581
GI_11496970-A	179.4	5.4	0.99354839
GI_11496977-S	997.9	21.6	1
GI_11496979-S	511.9	15.6	1
GI_11496980-A	171.9	8.4	0.98451613
GI_11496980-I	148.7	8	0.79483871
GI_11496981-I	152.1	8.3	0.84129032
GI_11496985-S	140.7	7.5	0.62193548
GI_11496986-S	133	7.2	0.39225806
GI_11496987-S	143.3	5.3	0.68645161
GI_11496988-S	349.2	11.8	1
GI_11496989-S	16422.6	454.4	1
GI_11496990-S	157.2	8.7	0.89935484
GI_11496991-S	780	16.6	1
GI_11496992-S	254.6	9.8	1
GI_11496993-A	155.5	6.8	0.88516129
GI_11496993-I	146.5	6.6	0.75354839
GI_11496997-A	179.8	9.2	0.99354839
GI_11496999-A	158.6	6.7	0.91612903
GI_11496999-I	137.9	8.3	0.54193548
GI_11497001-S	511.7	13.6	1
GI_11497005-A	394.9	16.7	1
GI_11497600-I	170.1	7.8	0.97677419
GI_11497602-A	117.8	5	0.08516129
GI_11497606-S	111.1	5.6	0.0283871
GI_11497611-A	465.1	10.6	1
GI_11497611-I	118.8	4.8	0.09290323
GI_11545742-S	3009.4	86.2	1
GI_11545750-S	129.7	6.4	0.30193548
GI_11545752-S	143.7	5.1	0.69677419
GI_11545756-S	130.3	5.3	0.31741935
GI_11545760-S	145	6.1	0.72516129
GI_11545764-S	446.1	11.5	1
GI_11545766-S	362.2	9	1
GI_11545768-S	201.2	8.3	0.99870968
GI_11545770-S	210	7	0.99870968
GI_11545792-S	959.2	24.3	1
GI_11545796-A	161.1	7.2	0.94193548
GI_11545800-S	2131.3	62.1	1
GI_11545810-S	145.1	5.2	0.72903226
GI_11545816-S	144.1	5.5	0.70709677
GI_11545826-S	138.5	6.9	0.55225806
GI_11545834-S	484.3	11.2	1
GI_11545840-S	138.2	5.4	0.54322581
GI_11545844-S	133.7	6.3	0.41290323
GI_11545846-I	143	6.8	0.67612903
GI_11545852-S	133	4.7	0.39483871
GI_11545854-S	187.4	10.2	0.99741935
GI_11545856-S	177.3	7.9	0.99096774
GI_11545860-S	145.4	5.9	0.73290323
GI_11545866-S	129.4	6.9	0.29677419
GI_11545882-S	136.9	5.8	0.50451613
GI_11545886-S	125	7.1	0.19741935
GI_11545889-S	150.2	7.4	0.82322581
GI_11545911-S	149.8	7.5	0.81032258
GI_11545913-S	291.1	11	1
GI_11545917-S	121.3	4.6	0.12645161
GI_11545919-S	239.6	9.4	0.99870968
GI_11545925-S	150.5	5.6	0.82580645
GI_11559922-I	385.2	13.4	1
GI_11559926-S	1861	48.3	1
GI_11560140-S	251.7	13.3	1
GI_11612654-S	154	9.9	0.86064516
GI_11612658-S	157	6.5	0.89935484
GI_11612673-I	133.8	8.1	0.41548387
GI_11612675-A	145.4	6.1	0.73290323
GI_11641230-S	135.9	5.1	0.47741935
GI_11641236-S	212.1	7.8	0.99870968
GI_11641238-S	596.9	15.9	1
GI_11641240-S	148.6	5.3	0.79483871
GI_11641242-S	322.5	10.5	1
GI_11641254-S	179.5	10	0.99354839
GI_11641260-S	1721.2	45.1	1
GI_11641264-S	463.4	14.1	1
GI_11641266-S	134.2	6.7	0.43225806
GI_11641268-S	170	7.6	0.97677419
GI_11641272-S	130.4	6.1	0.32
GI_11641288-S	1111.2	22.5	1
GI_11641302-S	179.9	6.8	0.99354839
GI_11641403-S	1728.6	35.4	1
GI_11641404-S	143.8	5.1	0.69935484
GI_11641410-A	788.2	14.3	1
GI_11641414-I	150	6.7	0.81935484
GI_11641417-S	143.4	5.2	0.68903226
GI_11641418-S	189.5	8	0.99870968
GI_11641419-S	140.9	6.7	0.62580645
GI_11641422-A	1792.3	41.4	1
GI_11641426-S	151	5.9	0.82967742
GI_11761614-A	431.9	15.2	1
GI_11761614-I	103	4.2	0.00645161
GI_11761618-I	139.6	6.6	0.5883871
GI_11761620-A	454.5	18	1
GI_11761622-I	152	8	0.84
GI_11761623-A	460.7	13.7	1
GI_11761623-I	594.1	15.3	1
GI_11761625-I	256.8	8.9	1
GI_11761627-I	127.1	5.5	0.24129032
GI_11761628-A	131.2	5.1	0.34322581
GI_11761628-I	113.6	6.2	0.04774194
GI_11761630-S	133.1	7.1	0.39612903
GI_11761632-I	149	6.8	0.79870968
GI_11761634-A	127.3	4.5	0.24258065
GI_11761634-I	129.9	5.6	0.30709677
GI_11761636-S	143.6	7.7	0.69548387
GI_11761637-S	142.8	5	0.67225806
GI_11863127-A	770.7	17	1
GI_11863129-I	167.6	8.4	0.96645161
GI_11863131-A	152.3	5.9	0.84516129
GI_11863131-I	142.9	5.7	0.67354839
GI_11863151-S	607.4	15.2	1
GI_11863155-S	256.1	16.6	1
GI_11863157-S	2046.9	53	1
GI_11863158-S	1943.2	57.6	1
GI_11863160-A	886.5	22.8	1
GI_11863164-S	947.3	17.7	1
GI_11967980-S	137	5.7	0.5083871
GI_11967986-S	357.4	11.2	1
GI_11968022-S	580.4	14	1
GI_11968026-S	849.8	22.9	1
GI_11968040-S	288	8.2	1
GI_11968044-S	2047.4	46.2	1
GI_11968046-S	1881.6	51.3	1
GI_11968048-S	594	18	1
GI_11968050-S	255	8.5	1
GI_11968052-S	1272.7	48.2	1
GI_11968151-S	149.6	7.3	0.80903226
GI_11968153-S	125.9	4.3	0.21677419
GI_11991659-S	124.5	9.6	0.18451613
GI_11993934-S	150.1	6.6	0.82322581
GI_11993942-S	1086.5	29.8	1
GI_11995467-S	446.1	15.8	1
GI_11995473-S	156.8	5.2	0.89935484
GI_12007645-S	150.1	7.5	0.81935484
GI_12007649-S	135.4	5.8	0.46322581
GI_12025664-S	2577.8	65.2	1
GI_12025666-S	164.9	8.8	0.95870968
GI_12025669-S	1040.1	38.8	1
GI_12025672-A	302.1	7.9	1
GI_12056462-S	3870	79.3	1
GI_12056464-S	6991.1	175.5	1
GI_12056466-S	131.7	4.7	0.35741935
GI_12056467-A	392.2	9.7	1
GI_12056469-S	193.8	9.3	0.99870968
GI_12056470-S	176.7	9.8	0.99096774
GI_12056472-S	1634.3	37.6	1
GI_12056477-S	213.5	7.7	0.99870968
GI_12056478-I	129.4	6.5	0.29677419
GI_12056480-A	174.2	7.1	0.9883871
GI_12056480-I	131.7	6.1	0.35225806
GI_12056481-S	193	7	0.99870968
GI_12056483-S	289.2	7.6	1
GI_12056970-S	2238.6	52	1
GI_12056972-S	136.7	8.4	0.49806452
GI_12056974-S	119.6	4.8	0.09806452
GI_12225239-S	143.6	5	0.69419355
GI_12232372-S	1192.5	34	1
GI_12232384-S	1272.2	33.2	1
GI_12232386-S	6750.2	173.8	1
GI_12232388-S	1290.2	29	1
GI_12232392-S	1405	45.3	1
GI_12232394-S	202.8	8.8	0.99870968
GI_12232400-S	1248	32.6	1
GI_12232402-S	1649.2	36.5	1
GI_12232406-S	173	9.4	0.98709677
GI_12232412-S	126	6.1	0.21935484
GI_12232414-S	257.4	9.2	1
GI_12232418-S	593.4	26	1
GI_12232428-S	840.5	36.1	1
GI_12232430-S	249.9	8.6	1
GI_12232436-S	411.6	11.7	1
GI_12232446-S	978.3	22.3	1
